Data Type:                         CLASS 10 SECOND DATA
Project ID:                        NSSL: MOBILE SITE TEST AT BOULDER, CO
Launch Site Type/Site ID:          MOBILE, NS2
Launch Location (lon,lat,alt):     105 15.00'W, 40 01.00'N, -105.25, 40.01667, 1600
GMT Launch Time (y,m,d,h,m,s):     1990, 04, 07, 02:08:25
Sonde Type/ID/Sensor ID/Tx Freq:   VAISALA RS80-15L 0, 0, 0
Met Processor/Met Smoothing:       VAISALA PP-11, 20 SECONDS
Winds Type/Processor/Smoothing:    LORAN-C, ANI-7000, 60 SECONDS
Pre-launch Surface Obs Source:     MANUAL ENTRY
System Operator/Comments:          D. LAURITSEN, NCAR MCLASS TEST FLIGHT, RL3 AT BOULDER, CO. DATA PROVIDED TO WPL. GOOD CLEAN FLIGHT.  TERRY J. SCHUUR
/
/
 Time  Press  Temp  Dewpt  RH    Uwind  Vwind  Wspd  Dir   dZ       Lon       Lat     Rng   Ang    Alt    Qp   Qt   Qh   Qu   Qv   Quv
  sec    mb     C     C     %     m/s    m/s   m/s   deg   m/s      deg       deg      km   deg     m     mb   C    %    m/s  m/s  m/s
------ ------ ----- ----- ----- ------ ------ ----- ----- ----- ---------- --------- ----- ----- ------- ---- ---- ---- ---- ---- ----
 -80.0  836.7   7.5   -.4  57.0    0.0   -1.0   1.0   0.0   0.0 -105.25000  40.01667   0.0 180.0  1600.0 77.0 77.0 77.0 77.0 77.0 77.0
  10.0  832.6   5.6   -.6  63.3     .4     .7    .8 207.0   4.1 -105.25000  40.01667   0.0 270.0  1640.6   .2   .7  2.9  1.0  1.5  1.8
  20.0  827.3   6.1   -.8  60.7   -1.4    0.0   1.4  90.2   5.2 -105.25104  40.01567    .1 218.6  1692.5   .3   .3   .5   .7  1.1  1.3
  30.0  821.6   6.6  -1.2  55.9   -3.3   -1.3   3.5  68.6   5.7 -105.25178  40.01487    .3 217.2  1749.6   .3   .1   .9   .3   .6   .7
  40.0  816.0   6.4  -1.9  53.5   -3.1    -.1   3.1  88.4   5.6 -105.25235  40.01426    .3 216.8  1805.9   .5  0.0   .5   .3   .4   .5
  50.0  810.4   6.0  -2.7  52.0   -2.7     .3   2.8  96.9   5.6 -105.25283  40.01375    .4 216.6  1861.6   .4   .1   .8   .2   .4   .5
  60.0  805.3   5.6  -3.2  52.8   -1.0   -1.1   1.5  42.6   5.2 -105.25309  40.01319    .5 214.3  1913.9   .4  0.0   .3   .2   .3   .3
  70.0  799.8   5.1  -3.4  53.8    -.8   -1.1   1.4  34.6   5.5 -105.25337  40.01272    .5 213.2  1969.1   .2  0.0   .4   .1   .2   .3
  80.0  794.2   4.6  -3.7  54.4   -1.2    -.8   1.4  56.5   5.8 -105.25367  40.01240    .6 213.4  2026.8   .2   .1   .6   .1   .2   .3
  90.0  788.8   4.1  -4.1  53.8   -2.3    -.2   2.3  84.5   5.6 -105.25393  40.01222    .6 214.1  2082.7   .2  0.0   .3   .1   .2   .2
 100.0  783.4   3.8  -4.7  52.5   -2.8    0.0   2.8  90.1   5.5 -105.25415  40.01210    .6 214.9  2138.0   .2  0.0  1.0   .1   .2   .2
 110.0  777.6   3.4  -5.1  53.3   -3.0     .2   3.0  94.5   6.0 -105.25446  40.01202    .6 216.3  2198.2   .5   .1   .7   .1   .2   .2
 120.0  938.4  11.8  -2.1  46.6   -2.9     .1   2.9  92.9 999.0 -105.25475  40.01201    .7 218.0   650.6 99.0 24.4 99.0   .1   .2   .2
 130.0  955.7  12.6   1.2  46.7   -2.7     .2   2.7  94.9 -15.3 -105.25502  40.01201    .7 219.6   497.9 99.0 18.8 99.0   .1   .2   .2
 140.0  761.7   2.3  -2.0  55.2   -2.0    1.0   2.3 115.1 999.0 -105.25527  40.01211    .7 221.5  2366.1   .7   .3   .9   .1   .2   .3
 150.0  756.5   2.2  -6.1  52.7   -1.8    2.2   2.8 140.9   5.5 -105.25540  40.01245    .7 224.4  2421.2   .4   .3  2.4   .1   .3   .3
 160.0  752.0   2.0  -6.2  55.4   -1.1    4.3   4.4 165.0   4.9 -105.25597  40.01311    .6 232.1  2470.2   .5  0.0  1.6   .2   .4   .4
 170.0  747.1   1.9  -5.7  57.8    -.7    6.1   6.2 173.2   5.3 -105.25653  40.01368    .6 239.2  2522.9   .4  0.0  1.3   .2   .3   .4
 180.0  741.4   2.1  -5.5  56.9    -.1    7.1   7.1 179.4   6.2 -105.25689  40.01415    .7 244.5  2584.6   .5   .4  2.8   .1   .3   .3
 190.0  736.2   3.2  -6.1  48.4     .4    6.2   6.2 184.2   5.6 -105.25703  40.01468    .6 249.8  2640.7   .5   .2  1.3   .1   .3   .3
 200.0  730.8   4.1  -7.4  39.7    1.1    4.4   4.5 193.8   6.0 -105.25691  40.01495    .6 252.1  2700.7   .5   .3  1.2   .1   .3   .3
 210.0  725.3   4.6  -9.3  32.9    1.3    2.5   2.9 207.5   6.2 -105.25673  40.01507    .6 252.8  2762.4   .7   .1  1.6   .1   .3   .3
 220.0  720.5   4.7 -11.2  28.6    1.3     .4   1.4 251.7   5.5 -105.25655  40.01505    .6 252.1  2817.1   .9   .1   .4   .2   .3   .4
 230.0  716.1   4.5 -12.3  27.6    1.1   -1.8   2.1 329.5   4.9 -105.25648  40.01481    .6 249.5  2866.0   .3  0.0   .3   .2   .3   .3
 240.0  711.2   4.1 -13.0  26.8    1.2   -3.0   3.2 338.9   5.6 -105.25643  40.01461    .6 247.4  2921.9   .3  0.0   .4   .1   .2   .3
 250.0  705.6   3.6 -13.8  25.7    1.6   -3.6   3.9 335.7   6.4 -105.25624  40.01442    .6 244.8  2986.2   .2  0.0   .4   .1   .2   .3
 260.0  700.1   3.2 -14.7  24.8    2.8   -4.2   5.0 326.2   6.3 -105.25580  40.01429    .6 241.8  3049.5   .4   .1   .4   .2   .3   .4
 270.0  694.8   2.7 -15.3  24.8    3.6   -4.1   5.4 319.1   6.2 -105.25492  40.01404    .5 235.1  3111.5   .6   .4   .3   .2   .2   .3
 280.0  689.6   2.2 -15.7  25.2    4.4   -4.4   6.2 314.7   6.0 -105.25338  40.01382    .4 222.2  3171.7   .5   .4   .4   .2   .2   .3
 290.0  684.9   1.7 -15.8  25.9    5.5   -5.5   7.8 314.8   5.6 -105.25165  40.01334    .4 200.8  3227.6   .7   .1   .6   .2   .2   .3
 300.0  678.1   1.3 -15.9  26.9    6.1   -4.8   7.8 308.5   8.0 -105.25075  40.01249    .5 187.8  3307.5  4.5   .1   .5   .2   .3   .4
 310.0  672.8    .7 -15.8  27.9    6.1   -4.1   7.3 304.0   6.3 -105.25037  40.01183    .5 183.3  3370.6  3.2  0.0   .3   .2   .2   .2
 320.0  669.1    .1 -15.8  29.3    5.9   -3.8   7.1 302.8   4.4 -105.24993  40.01146    .6 179.4  3414.5   .3   .1   .3   .2   .2   .3
 330.0  664.2   -.4 -15.8  30.6    5.7   -3.5   6.7 301.5   5.8 -105.24940  40.01114    .6 175.3  3473.0   .3   .1   .3   .2   .2   .3
 340.0  659.8   -.9 -15.8  31.5    5.9   -3.5   6.9 300.8   5.4 -105.24882  40.01079    .7 171.3  3527.1   .2  0.0   .3   .2   .2   .3
 350.0  655.0  -1.5 -16.0  31.9    5.8   -3.4   6.8 300.1   5.8 -105.24817  40.01048    .7 167.2  3584.7   .3  0.0   .4   .2   .2   .3
 360.0  650.2  -1.9 -16.4  31.9    6.5   -3.3   7.3 296.7   5.8 -105.24740  40.01016    .8 163.0  3642.9   .3  0.0   .3   .2   .2   .3
 370.0  645.9  -2.4 -16.7  32.7    7.5   -2.6   7.9 289.3   5.3 -105.24660  40.00995    .8 158.8  3695.6   .2  0.0   .3   .1   .2   .2
 380.0  641.6  -2.9 -16.8  33.8    7.9   -2.2   8.2 285.3   5.3 -105.24574  40.00971    .9 154.9  3748.7   .1  0.0   .3   .1   .1   .2
 390.0  636.9  -3.5 -16.8  35.0    8.0   -2.1   8.3 284.7   5.8 -105.24505  40.00954    .9 152.0  3806.7   .1  0.0   .4   .1   .2   .2
 400.0  632.3  -4.0 -17.0  35.8    7.9   -2.2   8.2 285.7   5.8 -105.24431  40.00937    .9 149.1  3864.2   .2  0.0   .3   .1   .2   .2
 410.0  627.9  -4.6 -17.2  36.6    7.7   -2.6   8.1 288.5   5.5 -105.24349  40.00915   1.0 146.4  3919.2   .3  0.0   .3   .1   .2   .2
 420.0  623.6  -5.1 -17.5  36.7    7.7   -2.7   8.2 289.4   5.4 -105.24256  40.00894   1.1 143.6  3973.2   .1  0.0   .3   .1   .2   .2
 430.0  619.0  -5.6 -17.9  37.1    8.1   -2.8   8.6 289.3   5.8 -105.24154  40.00885   1.1 140.4  4031.2   .3   .1   .8   .1   .2   .2
 440.0  614.1  -6.1 -18.1  38.8    8.5   -2.8   8.9 288.1   6.3 -105.24032  40.00863   1.2 137.3  4094.0   .2   .1   .3   .1   .2   .2
 450.0  609.6  -6.7 -18.0  40.8    9.6   -2.4   9.9 283.8   5.7 -105.23878  40.00848   1.3 133.6  4151.1   .3  0.0   .5   .1   .2   .2
